message,label
"Dear customer, your SBI account will be suspended. Call 9801234567 now.",1
"You have won ₹25,00,000 in KBC. Call now to claim your prize.",1
This is police inspector Singh. A case is registered on your Aadhaar. Pay ₹5000 to avoid arrest.,1
Your PAN card is linked with a crime. Contact immediately to clear your name.,1
We are from TRAI. Your mobile number is flagged. Pay ₹2500 fine.,1
"Hi, I'm calling from RBI. You have pending tax issues. Clear dues now.",1
Your electricity bill is pending. Power will be disconnected tonight. Call 738293XXXX.,1
You violated income tax rules. Pay immediately to avoid legal action.,1
"Download this app to verify your Aadhaar. Otherwise, your SIM will be blocked.",1
Amazon: Your recent order is stuck. Pay extra ₹299 to deliver.,1
"This is CBI. We are tracking your location. Pay ₹10,000 for bail.",1
Fake call alert! You are selected for a government scheme. Click the link to register.,1
Get quick loan approval with zero documents. Just share your OTP now.,1
Bank alert: Account blocked due to suspicious login. Enter OTP to unblock.,1
We have your browsing history. Pay or your data will go public.,1
"Hello sir, your son met with an accident. We need ₹50,000 immediately.",1
Final warning! Pay property tax now or your house will be seized.,1
LIC alert: Policy lapsed. Pay premium or benefits will be lost.,1
Update KYC today or your Paytm wallet will be frozen.,1
Your income tax refund is ready. Pay ₹500 to release funds.,1
Thank you for contacting ICICI customer care. Your complaint is registered.,0
This is your HR. Please attend training session at 2 PM today.,0
IRCTC: Your train ticket for tomorrow is confirmed.,0
Your Aadhaar was successfully updated. No action needed.,0
"Bank of Baroda: Your account balance is ₹8,920.",0
Welcome to HDFC. Your new debit card will reach you soon.,0
Amazon: Your package has been shipped. Delivery expected tomorrow.,0
Swiggy: Thanks for ordering. Your food will arrive in 30 mins.,0
Resume received. Our team will contact you if shortlisted.,0
Axis Bank: ₹2000 withdrawn from ATM ending with 1243.,0
